,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
0,"This woman on the news just said, imagine if there was a medication that reduced your chances of getting COVID by 5x. Everyone would want that medication.  Well, that's wearing a mask.",184,1275808300119064577,JasmynBeKnowing,Jasmyn,LA ,,2020-06-24 15:09:36,Twitter Web App,315860,84423,,,
1,"Numbers are going in the wrong direction.   Yesterday marked the 3rd-highest number of new cases (34,720) reported in one day in the US since the pandemic began. (Higher 2 dates were in April) https://t.co/9o9Q5f8pfC",216,1275826656050122753,jaketapper,Jake Tapper,,,2020-06-24 16:22:33,Twitter for iPhone,2231,1238,,,
2,"The Trump admin. plans to end federal funding and support for coronavirus testing sites at the end of this month, @NBCNews has learned. https://t.co/6JPPHra2Xk",159,1275823820448976897,CNBCnow,CNBC Now,,,2020-06-24 16:11:17,Twitter Media Studio,15043,16039,,,
3,BREAKING: Trump is ending funding for 13 coronavirus testing sites in 5 states. This is an example of Trump slowing testing in broad daylight. It's criminal.,157,1275880504869486594,funder,Scott Dworkin,,,2020-06-24 19:56:31,Twitter Web App,74744,26962,,,
4,"This woman on the news just said, imagine if there was a medication that reduced your chances of getting COVID by 5x. Everyone would want that medication.  Well, that's wearing a mask.",184,1275808300119064577,JasmynBeKnowing,Jasmyn,LA ,,2020-06-24 15:09:36,Twitter Web App,316091,84487,,,
5,"Numbers are going in the wrong direction.   Yesterday marked the 3rd-highest number of new cases (34,720) reported in one day in the US since the pandemic began. (Higher 2 dates were in April) https://t.co/9o9Q5f8pfC",216,1275826656050122753,jaketapper,Jake Tapper,,,2020-06-24 16:22:33,Twitter for iPhone,2231,1238,,,
6,"The Trump admin. plans to end federal funding and support for coronavirus testing sites at the end of this month, @NBCNews has learned. https://t.co/6JPPHra2Xk",159,1275823820448976897,CNBCnow,CNBC Now,,,2020-06-24 16:11:17,Twitter Media Studio,15041,16041,,,
7,BREAKING: Trump is ending funding for 13 coronavirus testing sites in 5 states. This is an example of Trump slowing testing in broad daylight. It's criminal.,157,1275880504869486594,funder,Scott Dworkin,,,2020-06-24 19:56:31,Twitter Web App,74770,26977,,,
8,Yesterday the US hit a record high for new COVID cases.  WEAR A MASK.,69,1276129631586959365,NYGovCuomo,Andrew Cuomo,New York,,2020-06-25 12:26:28,Twitter Web App,126598,28722,,,
9,The coronavirus is at record numbers. It's raging out of control. Where the hell is the federal government? Where the hell is our national leadership? I cannot imagine this level of dereliction of duty in any other administration I have seen in my (long) lifetime.,264,1275926144085184512,DanRather,Dan Rather,"New York, NY",,2020-06-24 22:57:52,Twitter for iPhone,213194,53560,,,
10,How many Americans killed by COVID-19 would still be alive today if Trump hadn’t politicized wearing a mask?,108,1275896052810383361,NathanLerner,Nate Lerner,"Brooklyn, NY",,2020-06-24 20:58:18,Twitter for iPhone,103725,20697,,,
11,Breaking via WaPo: Dozens of Secret Service officers and agents on site for Trump's Tulsa rally have been ordered to self-quarantine after two of their colleagues tested positive for coronavirus⁠—part of the fallout from Trump's insistence on the event. https://t.co/m1lMO93XLB,277,1275940523082047489,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-24 23:55:01,Twitter Web App,25209,12856,,,
12,"BREAKING: We just filed a complaint on Trump, the CDC, and HHS for intentionally preventing, slowing, delaying, hampering and obstructing testing for coronavirus in the US. We are asking the Inspector General of HHS to investigate immediately.",243,1275818602143322113,funder,Scott Dworkin,,,2020-06-24 15:50:32,Twitter for iPhone,48864,12731,,,
13,"New York, New Jersey and Connecticut issued a travel advisory that requires people arriving from states with high coronavirus rates to quarantine for 14 days https://t.co/vFR9i4LdiW",181,1275829104672223233,cnnbrk,CNN Breaking News,Everywhere,,2020-06-24 16:32:16,SocialFlow,2746,808,,,
14,TODAY: Trump is doing something about the pandemic.  Today he’s filing a brief in the Supreme Court to end the ACA &amp; take health care coverage away from 20 million people.,175,1276159092504104961,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-25 14:23:32,Twitter for iPad,45248,26071,,,
15,BREAKING: US hits single day high of reported Coronavirus cases.  Federal government silent.,92,1275907797096505344,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-24 21:44:58,Twitter for iPad,102122,33781,,,
16,"Amid America's #COVID19 disaster, I must come clean about a lie I spread as a health insurance exec: We spent big $$ to push the idea that Canada's single-payer system was awful &amp; the U.S. system much better. It was a lie &amp; the nations' COVID responses prove it. The truth: (1/6)",287,1276158510955401216,wendellpotter,Wendell Potter,"Philadelphia, PA",,2020-06-25 14:21:13,Twitter Web App,27260,17425,,,
17,COVID-19 has gone down due to the efforts of everyone but is still in general circulation.  If we do not follow social distancing guidance then cases will rise again. Naturally people will want to enjoy the sun but we need to do so in a way that is safe for all.,262,1276199449858015235,CMO_England,Professor Chris Whitty,London,,2020-06-25 17:03:54,Twitter Web App,35836,11695,,,
18,"Workers called back on the job deserve access to regular, reliable COVID-19 testing.",84,1275812425120444416,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-24 15:26:00,TweetDeck,86058,13606,,,
19,Cities with Black Lives Matter protests have not seen spikes in COVID-19 https://t.co/DX3AFrIrpO,96,1275801100470218752,BuzzFeedNews,BuzzFeed News,,,2020-06-24 14:41:00,TweetDeck,13316,7605,,,
20,"Trump calling COVID-19 the “Kung Flu” is stupid, racist and part of the reason he is losing this election in increasingly humiliating fashion. His material is no longer effective just self-degrading.",199,1275617759313965056,AndrewYang,Andrew Yang🧢🇺🇸,USA,,2020-06-24 02:32:28,Twitter for iPhone,152273,20992,,,
21,"Asian Americans now make up 11% of the electorate in NV, 5.5% in TX and 4.7% in GA. So go ahead @realDonaldTrump and keep saying racist stuff like Kung Flu. Also, you are making fun of a pandemic that’s killed over 120,000 Americans in four months. See you in November. https://t.co/V9iW6ASOqU",293,1275618584572522496,tedlieu,Ted Lieu,California,,2020-06-24 02:35:45,Twitter for iPhone,55163,12858,,,
22,"As per Patanjali's application, we issued them license. They didn't mention coronavirus, we only approved license for immunity booster, cough &amp; fever. We'll issue them a notice asking how they got permission to make the kit (for COVID19): Licence Officer, Uttarakhand Ayurved Dept https://t.co/I7CWKoJhbK",308,1275705563641454592,ANI,ANI,India,,2020-06-24 08:21:22,Twitter Web App,20469,5101,,,
23,Excited to announce I’m playing in eSoccer Aid on Saturday! 🎮⚽  @SoccerAid for @UNICEF_uk have teamed up with @EASPORTSFIFA to help stop impact of coronavirus on children’s lives   Info here 👉 https://t.co/MztTDSEyPY https://t.co/roht3jrung,240,1275763486333771778,LiamPayne,Liam,,,2020-06-24 12:11:32,Twitter for iPhone,54751,5834,,,
24,NEW: Overflowing hospitals. Widespread corruption. And a chloroquine-obsessed populist in charge.  The coronavirus pandemic's worst-case scenario is unfolding in Brazil. https://t.co/tIhJ6BtijF,193,1275791486269997056,BW,𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀𝘄𝗲𝗲𝗸,"New York, NY",,2020-06-24 14:02:48,SocialFlow,3304,2672,,,
25,"65,000 people have lost their lives to Covid-19.  The Prime Minister shouldn't reject challenge that could save lives.  #PMQs https://t.co/rLZCAH866Q",149,1275760088054149120,Keir_Starmer,Keir Starmer,London,,2020-06-24 11:58:02,Twitter Media Studio,16373,3798,,,
26,"PM can’t be allowed to get away with this  Fudging question of why *two thirds* of those with Covid-19 haven’t been contacted via test &amp; trace is so weak  So no, this is *not* “formidable achievement” - it’s a damning indictment on a scheme that’s far from “world beating” #PMQs",282,1275748781959647233,CarolineLucas,Caroline Lucas,Brighton,,2020-06-24 11:13:06,Twitter for iPhone,10744,3602,,,
27,"From the Times/Siena poll. I keep seeing claims that ""Americans"" don't have the patience to control the pandemic. No, *Republicans* — taking cues from their leaders — are demanding early opening. And they're in the minority 1/ https://t.co/mXim1fRBqy",250,1275757700782186497,paulkrugman,Paul Krugman,New York City,,2020-06-24 11:48:32,Twitter Web App,4425,1639,,,
28,Alarming spike in coronavirus sparks fears California is 'starting to lose this battle' https://t.co/d2xyyB8qG4,111,1275747502176833537,latimes,Los Angeles Times,"El Segundo, CA",,2020-06-24 11:08:01,Buffer,2033,1643,,,
29,"Apparently, if you eat “Tiddi” or Locust, it cures Coronavirus. If you don’t have Coronavirus, it improves immunity against Coronavirus.  Serious discussion in Pakistan Parliament. https://t.co/XYJsfURJc3",204,1275758871793958913,majorgauravarya,Major Gaurav Arya (Retd),India,,2020-06-24 11:53:12,Twitter for iPhone,14212,3627,,,
30,"I’m 35 &amp; in decent health. Having read widely on COVID, I’m not worried about dying from it. I am concerned of having long-term health issues that affect quality of life for months &amp; years. https://t.co/HekullGid5",221,1275764221305851904,devisridhar,Devi Sridhar,"Edin, Oxford, Wash DC, Miami",,2020-06-24 12:14:27,Twitter Web App,6110,2382,,,
31,JUST IN: Los Angeles County now leading the nation in coronavirus cases. https://t.co/8rHCmZ5JiY,96,1275785735887560708,ABC,ABC News,New York City / Worldwide,,2020-06-24 13:39:57,SocialFlow,5101,3640,,,
32,"Johnson walked into another Starmer trap by accusing him of using coronavirus misleading figures, the Labour leader pointing out they are from ""cough"" Government briefing slides #PMQs",183,1275747623295750145,Kevin_Maguire,Kevin Maguire,,,2020-06-24 11:08:30,Twitter Web App,10885,2258,,,
33,Inept PM responds to @Keir_Starmer accusing him of using #coronavirus misleading figures. Keir points out that they are from Governments own briefing slides! 😳 #PMQs,165,1275748845369073664,AngelaRayner,🌈 Angela Rayner 🌈,"Ashton-under-Lyne, England",,2020-06-24 11:13:21,Twitter for iPhone,14650,2701,,,
34,Media Ignores 90% Coronavirus Death Collapse In Country https://t.co/mXrsmtMg6P,79,1275615173039083521,IngrahamAngle,Laura Ingraham,DC,,2020-06-24 02:22:11,Twitter for iPhone,12143,5562,,,
35,"There is a sad irony that the same elected officials who refused to listen to science, who mocked public health, who minimized the coronavirus, are desperate for science to bail out their negligence (which has led to unnecessary death and suffering) with vaccines and treatments.",279,1275588440868839425,DanRather,Dan Rather,"New York, NY",,2020-06-24 00:35:58,Twitter Web App,65427,14556,,,
36,"However these rallies have played out for Trump, these are still the only indoor events in the country in months where thousands of people have congregated inside the same space. How do we explain that in terms of our responsibility as a country in the midst of a global pandemic? https://t.co/wqBo7Nc10M",304,1275617388562694144,MaddowBlog,Maddow Blog,New York City,,2020-06-24 02:30:59,Wildmoka,5486,1932,,,
37,Trump amping up his crowd in Phoenix by referring to the Coronavirus as “Kung Flu” again.,89,1275567808974188544,Acosta,Jim Acosta,"Washington, DC",,2020-06-23 23:13:59,Twitter for iPhone,38571,7604,,,
38,"Trump quotes MLK on not judging people by the color of their skin minutes after he uses the racist term ""Kung Flu"" to describe the coronavirus.",143,1275573112004677632,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-23 23:35:03,Twitter Web App,10190,2926,,,
39,"COVID Update June 23: Trump sees nothing but good news in the Coronavirus.  Unlike other world leaders with better health &amp; economic results who aim to limit death &amp; economic loss with masks &amp; other containment, Trump’s approach is a mix of lying, denial &amp; spin. 1/",281,1275610591462395907,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-24 02:03:59,Twitter for iPhone,5584,1927,,,
40,"Looks like Engel, who was famously absent from own district as the COVID crisis unfolded, won't be compelled to visit at all going forward. 😋  So excited my mom got a chance to vote for Bowman today . https://t.co/2csYJDHOXz",224,1275612509521743873,briebriejoy,Briahna Joy Gray,"Manhattan, NY",,2020-06-24 02:11:36,Twitter Web App,12432,1163,,,
41,President @realDonaldTrump just pointed out in his Phoenix speech that he sent the UNSN Comfort hospital ship and @NYGovCuomo could have put senior citizens infected with COVID on the ship instead of nursing homes...instead Cuomo murdered senior citizens https://t.co/8rfsa5vSto,278,1275594604751081473,T_S_P_O_O_K_Y,Tony Shaffer,Earth..mostly...,,2020-06-24 01:00:27,Twitter Web App,1082,744,,,
42,"We cannot let COVID-19 spread like it is right now in Washington.  So today, we’re mandating facial coverings statewide. https://t.co/CL8MWDvKoo",144,1275568470663368704,GovInslee,Governor Jay Inslee,"Olympia, WA",,2020-06-23 23:16:36,Twitter for iPhone,16134,4456,,,
43,Rebekah Jones was fired last month from her job at the Florida Department of Health - where she helped create a data portal about the state's COVID-19 cases - after she was asked to manipulate data.   This is ... not good. #flapol https://t.co/QbI7JEg994,254,1275587105322708992,shannonrwatts,Shannon Watts,"NRA’s head, rent free",,2020-06-24 00:30:39,Twitter Web App,3205,1730,,,
44,"Loans worth Rs 75,426.39 crore to 17.02 lakh applicants already sanctioned till 18 June 2020 under the 100% Emergency Credit Line Guarantee Scheme of #AatmaNirbharBharatAbhiyan.  The magnitude of such liquidity support to MSMEs in face of the COVID pandemic is unprecedented. https://t.co/geyz5qGL9B",299,1275617734563262464,BJP4India,BJP,"6-A, Deen Dayal Upadhyay Marg,",,2020-06-24 02:32:22,Twitter Web App,1769,392,,,
45,"What a coincidence that the US has handled COVID-19 worse than just about any government in the world, and has a President who doesn't know why it's called COVID-19. https://t.co/ZFCCRThNHY",189,1275585531867365377,brhodes,Ben Rhodes,"Washington, DC",,2020-06-24 00:24:24,Twitter Web App,8667,2236,,,
46,Former defense secretary and retired Marine general Jim Mattis has appeared in a pandemic public service announcement urging listeners in his hometown to wear face coverings to help prevent coronavirus. https://t.co/IO6N4ZHdFN,226,1275613363511291905,starsandstripes,Stars and Stripes,Washington D.C.,,2020-06-24 02:15:00,TweetDeck,2552,688,,,
47,"Universal masking is the most obvious and least intrusive intervention that states with large epidemics can now reach for. But it won’t be enough at this stage. FL, TX, AZ, CA may all have to consider limiting elective surgeries to once again free up hospital capacity for Covid. https://t.co/TUlB909nsy",303,1275597696510971905,ScottGottliebMD,"Scott Gottlieb, MD","Washington, DC",,2020-06-24 01:12:44,Twitter for iPhone,3796,1479,,,
48,"Spoke with @jaketapper about what feels increasingly like the federal government giving up on the pandemic  We may be done with the pandemic  But the pandemic is not done with us  We know how to get our arms around this  But if we choose not to act, our future looks pretty tough https://t.co/sWlk2mwn8g",303,1275587877280325634,ashishkjha,Ashish K. Jha,"Cambridge, MA",,2020-06-24 00:33:43,Twitter Web App,2369,830,,,
49,"BREAKING: The Missouri Supreme Court ruled that our lawsuit to make sure all eligible voters are able to vote by mail without a notary during COVID-19 can continue.  Missouri, we'll see you in court. https://t.co/YeSaaVnGGx",223,1275564367761870856,ACLU,ACLU,All 50 states,,2020-06-23 23:00:18,Twitter Web App,10095,2163,,,
50,"Our policy editor Lewis Goodall has sobering news on deaths in this pandemic, particularly in the UK’s care home sector, where excess deaths have increased by 93% during this time and 13.6% of residents died.  @lewis_goodall | #Newsnight https://t.co/SajUq5N1ou",261,1275552829831340032,BBCNewsnight,BBC Newsnight,"London, UK",,2020-06-23 22:14:27,Twitter Media Studio - LiveCut,2057,1665,,,
51,"On the WORST day of the pandemic in #Arizona with 58,179 cases and single-day records of ⚠️3,593 new cases and ⚠️42 new deaths, these unmasked #Trump supporters at Dream City Church, Phoenix Arizona are breathing #COVID in and out.   https://t.co/EI1Oy4gUiZ",257,1275549702721683456,Cleavon_MD,"Cleavon Gilman, MD🌵",Arizona,,2020-06-23 22:02:02,Twitter Web App,6469,3680,,,
52,"FLASH: TEXAS posts new COVID spike — record *5,489* new cases, record *4,092* patients in hospital beds",103,1275536056314626048,StevenTDennis,Steven Dennis,"Washington, DC",,2020-06-23 21:07:48,Twitter Web App,4183,2699,,,
53,Janice Dean: New York Governor Andrew Cuomo Needs To Be Investigated For Sending Recovering Covid Patients Into Nursing Homes  https://t.co/1TgOr5Fwv7,150,1275552012210515968,JaniceDean,Janice Dean,NYC!,,2020-06-23 22:11:12,Twitter for iPhone,12002,4415,,,
